Frequency,Amplitude
138.10921902524956,489921.5080153205
142.4251321197886,553855.5190889967
168.3206106870229,568596.28439344
198.53200234879625,635752.8220528295
211.47974163241338,808456.217910523
271.9025249559601,1178569.9063831214
276.2184380504991,1190631.0467395934
280.53435114503816,1870451.6863181726
284.8502642395772,2924432.5121187354
289.16617733411624,3051065.819422913
