Frequency,Amplitude
127.25373134328358,1014578.5098264696
131.6417910447761,1027827.5173999055
254.50746268656715,1100281.7638171557
258.8955223880597,1106077.718893286
386.14925373134326,1168620.1860051842
640.6567164179104,1250272.4380303943
645.044776119403,1284373.4390498218
776.6865671641791,1438828.9626384557
785.4626865671642,1705476.7392433176
1154.0597014925372,1889502.4653620713
